taxifromsiam.tripid,taxifromsiam.distance,taxifromsiam.originlat,taxifromsiam.originlon,taxifromsiam.deslat,taxifromsiam.deslon,taxifromsiam.origingrid,taxifromsiam.desgrid,taxifromsiam.totaltriptime,taxifromsiam.totaltriptimetopickup,taxifromsiam.avgspeed,taxifromsiam.trafficdelay,taxifromsiam.trafficdelaytopickup,taxifromsiam.waittime,taxifromsiam.costnew
57,4.28,13.74537,100.53468,13.75815,100.50933,1261,1196,50,0,5.268817204,41,0,1,136
66,0.62,13.74193,100.55333,13.74293,100.5477,1325,1324,0,3,8.857142857,0,1,1,0
67,7.69,13.7422,100.54755,13.68937,100.53395,1324,1633,14,3,36.69230769,4,1,1,81
85,1.57,13.74578,100.5312,13.7326,100.52995,1261,1384,0,6,13.11111111,0,2,0,0
143,2.17,13.74478,100.53562,13.7323,100.53088,1261,1385,0,6,18.90909091,0,2,0,0
319,0,13.74508,100.53057,13.74508,100.53057,1261,1261,0,0,14,0,0,1,0
320,10.78,13.74453,100.5305,13.77827,100.47708,1261,1069,65,0,9.658536585,44,0,1,179
433,0.71,13.73835,100.55863,13.73335,100.55995,1325,1387,0,3,19.33333333,0,2,0,0
631,18.73,13.74127,100.55405,13.705,100.60855,1325,1516,88,21,14.68571429,46,9,6,234
758,11.7,13.7374,100.54283,13.68683,100.48585,1324,1628,0,31,23.19298246,0,13,8,0
876,3.64,13.74342,100.54643,13.7245,100.53978,1324,1385,0,9,22.375,0,5,0,0
1003,2.71,13.75157,100.53662,13.74333,100.55315,1261,1325,0,21,6.789473684,0,14,5,0
1004,2.87,13.7379,100.55132,13.71492,100.5586,1325,1449,7,21,29.28571429,3,14,5,52
1048,1.76,13.75372,100.54192,13.76245,100.53708,1262,1199,0,17,6.787878788,0,12,8,0
1161,0.21,13.75213,100.53693,13.75105,100.53785,1261,1261,0,4,1.428571429,0,4,5,0
1162,13.43,13.75093,100.53813,13.8256,100.52573,1261,764,22,4,38.0952381,4,4,5,116
1194,0.99,13.74187,100.55292,13.74377,100.54423,1325,1324,0,5,8.666666667,0,3,2,0
1195,6.97,13.7438,100.54362,13.79443,100.54958,1324,952,27,5,16.4,14,3,2,97
1239,1.59,13.75402,100.52972,13.74315,100.5283,1260,1322,5,5,23.33333333,1,3,0,41
1243,1.36,13.74375,100.54433,13.75223,100.54143,1324,1262,14,12,6.846153846,10,3,6,58
1244,3.06,13.75403,100.54197,13.75745,100.56518,1262,1202,7,0,24,3,0,0,53
1357,0.19,13.74085,100.55467,13.74187,100.55338,1325,1325,0,4,0.666666667,0,4,6,0
1358,8.46,13.74235,100.55242,13.7601,100.49865,1325,1195,46,4,11.34939759,26,4,6,129
1397,10.55,13.75298,100.54163,13.78198,100.54528,1262,1076,0,39,17.15492958,0,18,3,0
1468,0.04,13.75043,100.53918,13.75003,100.53923,1261,1261,0,0,0,0,0,2,0
1469,2.09,13.74993,100.53942,13.76437,100.53945,1261,1137,11,0,10.6,7,0,2,56
1547,2.05,13.74472,100.54003,13.73053,100.53347,1262,1385,9,5,14.31578947,2,4,0,46
